Country,Population,Rate,Net,Density,World_Share
Denmark,5788108,0.35,20326,137,0.07
Finland,5539002,0.15,8564,18,0.07
Congo,5489191,2.56,137579,16,0.07
Slovakia,5459116,0.05,2629,114,0.07
Norway,5412632,0.79,42384,15,0.07
Oman,5078933,2.65,131640,16,0.07
State of Palestine,5076280,2.41,119994,847,0.07
Costa Rica,5084636,0.92,46557,100,0.07
Liberia,5032469,2.44,120307,53,0.06
Ireland,4926480,1.13,55291,72,0.06
Central African Republic,4812256,1.78,84582,8,0.06
New Zealand,4814272,0.82,39170,18,0.06
Mauritania,4623535,2.74,123962,5,0.06
Panama,4300667,1.61,68328,58,0.06
Kuwait,4257495,1.51,63488,240,0.05
Croatia,4110214,-0.61,-25037,73,0.05
Moldova,4035814,-0.23,-9300,123,0.05
Georgia,3990681,-0.19,-7598,57,0.05
Eritrea,3536285,1.41,49304,35,0.05
Uruguay,3471314,0.35,11996,20,0.04
Bosnia and Herzegovina,3284806,-0.61,-20181,64,0.04
Mongolia,3267320,1.65,53123,2,0.04
Armenia,2962137,0.19,5512,104,0.04
Jamaica,2958567,0.44,12888,273,0.04
Qatar,2870922,1.73,48986,248,0.04
Albania,2878420,-0.11,-3120,105,0.04
Puerto Rico,2874636,-2.47,-72555,323,0.04
Lithuania,2729553,-1.35,-37338,43,0.03
Namibia,2531290,1.86,46375,3,0.03
Gambia,2402083,2.94,68962,239,0.03
Botswana,2341649,2.08,47930,4,0.03
Gabon,2214593,2.45,53155,9,0.03
Lesotho,2138799,0.8,16981,71,0.03
North Macedonia,2083391,0.0,-85,83,0.03
Slovenia,2078881,0.01,284,103,0.03
Guinea-Bissau,1958132,2.45,47079,70,0.03
Latvia,1890218,-1.08,-20545,30,0.02
Bahrain,1688629,3.68,60403,2239,0.02
Equatorial Guinea,1392950,3.47,46999,50,0.02
Trinidad and Tobago,1398579,0.32,4515,273,0.02
Estonia,1326357,0.07,887,31,0.02
Timor-Leste,1313184,1.96,25326,89,0.02
Mauritius,1271347,0.17,2100,626,0.02
Cyprus,1205577,0.73,8784,131,0.02
Eswatini,1157707,1.05,12034,67,0.01
Djibouti,985027,1.48,14440,43,0.01
Fiji,895128,0.73,6492,49,0.01
Réunion,894017,0.72,6385,358,0.01
Comoros,865696,2.2,18715,467,0.01
Guyana,785788,0.48,3786,4,0.01
Bhutan,769867,1.12,8516,20,0.01
Solomon Islands,683301,2.55,17061,25,0.01
Macao,647508,1.39,8890,21645,0.01
Montenegro,628050,0.01,79,47,0.01
Luxembourg,623861,1.66,10249,242,0.01
Western Sahara,594215,2.55,14876,2,0.01
Suriname,585561,0.9,5260,4,0.01
Cabo Verde,554750,1.1,6052,138,0.01
Maldives,538558,1.81,9591,1802,0.01
Malta,441308,0.27,1171,1380,0.01
Brunei,436624,0.97,4194,83,0.01
Guadeloupe,400110,0.02,68,237,0.01
Belize,396120,1.86,7275,17,0.01
Bahamas,392477,0.97,3762,39,0.01
Martinique,375323,-0.08,-289,354,0.0
Iceland,340795,0.65,2212,3,0.0
Vanuatu,305623,2.42,7263,25,0.0
French Guiana,297029,2.7,7850,4,0.0
Barbados,287305,0.12,350,668,0.0
New Caledonia,284938,0.97,2748,16,0.0
French Polynesia,280580,0.58,1621,77,0.0
Mayotte,271417,2.5,6665,728,0.0
Sao Tome & Principe,218308,1.91,4103,228,0.0
Samoa,198147,0.67,1317,70,0.0
Saint Lucia,183458,0.46,837,301,0.0
Channel Islands,173536,0.93,1604,915,0.0
Guam,168474,0.89,1481,313,0.0
Curaçao,163958,0.41,669,370,0.0
Kiribati,119069,1.57,1843,147,0.0
Micronesia,114776,1.06,1208,164,0.0
Grenada,112418,0.46,520,331,0.0
St. Vincent & Grenadines,110869,0.32,351,284,0.0
Aruba,106675,0.43,452,593,0.0
Tonga,105449,1.15,1201,147,0.0
U.S. Virgin Islands,104456,-0.15,-153,298,0.0
Seychelles,98224,0.62,608,214,0.0
Antigua and Barbuda,97764,0.84,811,223,0.0
Isle of Man,84942,0.53,449,149,0.0
Andorra,77240,0.16,123,164,0.0
